episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm,value_loss,adv_mean,adv_std
1,-257.68124290700393,-257.68124290700393,91,-46.828086853027344,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-46.828086853027344,1.8470889528998669e-07,1.0,3.1210386753082275,0.9773778319358826,-0.004110726527869701,0.9940928220748901
2,-134.0893022302343,-195.88527256861911,103,145.14678955078125,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,145.14678955078125,2.3147434191628236e-08,1.0,10.752083778381348,0.9910332560539246,0.00983260665088892,1.0003256797790527
3,-118.09980046446114,-169.9567818672331,103,77.50654602050781,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,77.50654602050781,-8.101602055887724e-09,1.0,4.36177921295166,0.9824340343475342,0.005273475311696529,0.9960108995437622
4,-231.93057283047767,-185.45022960804425,135,-31.902433395385742,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-31.902433395385742,1.09672544112982e-06,1.0,1.7678569555282593,0.9880016446113586,-0.0012608515098690987,0.9976838827133179
5,-291.6402651173696,-206.68823670990932,92,-159.68197631835938,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-159.68197631835938,-1.0722357046688558e-07,1.0,19.13821029663086,0.9522400498390198,-0.013639576733112335,0.9810791015625
6,-263.5489284761659,-216.1650186709521,103,-316.03253173828125,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-316.03253173828125,2.5288571237069846e-07,1.0,24.549488067626953,1.0398362874984741,-0.021541379392147064,1.0244814157485962
7,-166.07841025493468,-209.0097888972353,70,-113.42369079589844,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-113.42369079589844,1.5497207073167374e-07,1.0,9.58195686340332,0.9718484282493591,-0.016703255474567413,0.9927991032600403
8,-545.6133791891447,-251.085237683724,88,-548.8330688476562,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-548.8330688476562,1.3140115129317564e-07,1.0,66.96057891845703,0.9047612547874451,-0.05132870748639107,0.9552465081214905
9,-122.13828342829684,-236.75779832200988,102,238.98634338378906,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,238.98634338378906,-5.644910743285436e-07,1.0,8.303500175476074,0.9908271431922913,0.016617942601442337,1.0001792907714844
10,-23.811422792150807,-215.46316076902394,69,28.685043334960938,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,28.685043334960938,-1.036602537141107e-08,0.9999999403953552,7.3899054527282715,0.9988561272621155,0.00436574500054121,1.0067400932312012
